Id,Predicted
0, 0.30
1, 0.14
2, 0.56
3, 0.32
4, 0.96
5, 0.19
6, 0.63
7, 0.36
8, 0.39
9, 0.68
10, 0.52
11, 0.55
12, 0.40
13, 0.55
14, 0.89
15, 0.89
16, 0.85
17, 0.52
18, 0.53
19, 0.36
20, 0.42
21, 0.87
22, 0.50
23, 0.54
24, 0.50
25, 0.45
26, 0.59
27, 0.51
28, 0.51
29, 0.50
30, 0.52
31, 0.44
32, 0.50
33, 0.37
34, 0.66
35, 0.42
36, 0.41
37, 0.47
38, 0.54
39, 0.93
40, 0.52
41, 0.35
42, 0.52
43, 0.34
44, 0.81
45, 0.57
46, 0.47
47, 0.16
48, 0.42
49, 0.52
50, 0.26
51, 0.13
52, 0.13
53, 0.43
54, 0.37
55, 0.48
56, 0.41
57, 0.29
58, 0.27
59, 0.49
60, 0.60
61, 0.41
62, 0.14
63, 0.86
64, 0.93
65, 0.45
66, 0.73
67, 0.48
68, 0.10
69, 0.45
70, 0.60
71, 0.97
72, 0.83
73, 0.39
74, 0.05
75, 0.64
76, 0.59
77, 0.51
78, 0.43
79, 0.15
80, 0.49
81, 0.48
82, 0.50
83, 0.96
84, 0.55
85, 0.70
86, 0.53
87, 0.47
88, 0.44
89, 0.96
90, 0.44
91, 0.97
92, 0.48
93, 0.41
94, 0.89
95, 0.43
96, 0.20
97, 0.43
98, 0.91
99, 0.42
100, 0.51
101, 0.50
102, 0.08
103, 0.60
104, 0.56
105, 0.40
106, 0.48
107, 0.38
108, 0.38
109, 0.65
110, 0.15
111, 0.51
112, 0.39
113, 0.54
114, 0.45
115, 0.40
116, 0.54
117, 0.52
118, 0.13
119, 0.37
120, 0.17
121, 0.66
122, 0.39
123, 0.41
124, 0.46
125, 0.09
126, 0.59
127, 0.61
128, 0.64
129, 0.40
130, 0.17
131, 0.82
132, 0.22
133, 0.40
134, 0.47
135, 0.51
136, 0.22
137, 0.30
138, 0.50
139, 0.71
140, 0.52
141, 0.43
142, 0.51
143, 0.96
144, 0.97
145, 0.55
146, 0.45
147, 0.43
148, 0.41
149, 0.34
150, 0.31
151, 0.89
152, 0.23
153, 0.24
154, 0.47
155, 0.59
156, 0.30
157, 0.51
158, 0.56
159, 0.27
160, 0.59
161, 0.47
162, 0.86
163, 0.16
164, 0.53
165, 0.59
166, 0.19
167, 0.45
168, 0.96
169, 0.37
170, 0.43
171, 0.45
172, 0.74
173, 0.68
174, 0.38
175, 0.59
176, 0.25
177, 0.15
178, 0.57
179, 0.42
180, 0.44
181, 0.50
182, 0.82
183, 0.43
184, 0.28
185, 0.50
186, 0.48
187, 0.46
188, 0.66
189, 0.48
190, 0.60
191, 0.51
192, 0.50
193, 0.39
194, 0.34
195, 0.15
196, 0.49
197, 0.60
198, 0.14
199, 0.20
200, 0.47
201, 0.41
202, 0.46
203, 0.38
204, 0.73
205, 0.33
206, 0.12
207, 0.48
208, 0.90
209, 0.52
210, 0.40
211, 0.50
212, 0.37
213, 0.52
214, 0.35
215, 0.52
216, 0.52
217, 0.57
218, 0.47
219, 0.15
220, 0.13
221, 0.44
222, 0.32
