Id,Predicted
0, 0.31
1, 0.17
2, 0.50
3, 0.33
4, 0.97
5, 0.22
6, 0.65
7, 0.31
8, 0.41
9, 0.63
10, 0.48
11, 0.53
12, 0.35
13, 0.51
14, 0.90
15, 0.91
16, 0.89
17, 0.55
18, 0.51
19, 0.40
20, 0.43
21, 0.97
22, 0.48
23, 0.50
24, 0.55
25, 0.41
26, 0.61
27, 0.51
28, 0.58
29, 0.45
30, 0.55
31, 0.41
32, 0.52
33, 0.28
34, 0.60
35, 0.40
36, 0.42
37, 0.50
38, 0.51
39, 0.94
40, 0.53
41, 0.35
42, 0.54
43, 0.36
44, 0.80
45, 0.58
46, 0.46
47, 0.13
48, 0.41
49, 0.61
50, 0.26
51, 0.29
52, 0.03
53, 0.54
54, 0.38
55, 0.47
56, 0.52
57, 0.26
58, 0.23
59, 0.50
60, 0.62
61, 0.42
62, 0.21
63, 0.83
64, 0.95
65, 0.45
66, 0.76
67, 0.51
68, 0.06
69, 0.39
70, 0.58
71, 0.96
72, 0.92
73, 0.40
74, 0.01
75, 0.56
76, 0.51
77, 0.45
78, 0.44
79, 0.16
80, 0.50
81, 0.53
82, 0.56
83, 0.91
84, 0.66
85, 0.54
86, 0.51
87, 0.53
88, 0.40
89, 0.91
90, 0.44
91, 0.91
92, 0.47
93, 0.50
94, 0.89
95, 0.43
96, 0.20
97, 0.44
98, 1.00
99, 0.44
100, 0.51
101, 0.49
102, 0.13
103, 0.61
104, 0.53
105, 0.46
106, 0.46
107, 0.40
108, 0.44
109, 0.66
110, 0.20
111, 0.55
112, 0.38
113, 0.54
114, 0.48
115, 0.45
116, 0.49
117, 0.54
118, 0.04
119, 0.41
120, 0.19
121, 0.66
122, 0.42
123, 0.47
124, 0.47
125, 0.13
126, 0.61
127, 0.62
128, 0.69
129, 0.36
130, 0.18
131, 0.74
132, 0.23
133, 0.29
134, 0.48
135, 0.55
136, 0.21
137, 0.29
138, 0.48
139, 0.74
140, 0.40
141, 0.40
142, 0.54
143, 0.92
144, 0.97
145, 0.50
146, 0.50
147, 0.42
148, 0.45
149, 0.30
150, 0.32
151, 1.01
152, 0.17
153, 0.23
154, 0.48
155, 0.56
156, 0.28
157, 0.53
158, 0.53
159, 0.23
160, 0.47
161, 0.56
162, 0.73
163, 0.14
164, 0.59
165, 0.59
166, 0.22
167, 0.45
168, 0.99
169, 0.38
170, 0.34
171, 0.46
172, 0.82
173, 0.70
174, 0.33
175, 0.58
176, 0.32
177, 0.07
178, 0.56
179, 0.44
180, 0.38
181, 0.53
182, 0.83
183, 0.47
184, 0.19
185, 0.53
186, 0.49
187, 0.52
188, 0.69
189, 0.47
190, 0.61
191, 0.41
192, 0.50
193, 0.35
194, 0.34
195, 0.08
196, 0.53
197, 0.73
198, 0.12
199, 0.18
200, 0.38
201, 0.43
202, 0.44
203, 0.41
204, 0.72
205, 0.32
206, 0.15
207, 0.49
208, 0.92
209, 0.49
210, 0.34
211, 0.54
212, 0.39
213, 0.51
214, 0.36
215, 0.55
216, 0.51
217, 0.53
218, 0.51
219, 0.15
220, 0.08
221, 0.44
222, 0.28
223, 0.12
224, 0.55
225, 0.48
226, 0.38
227, 0.70
228, 0.48
229, 0.37
230, 0.18
231, 0.10
232, 0.45
233, 0.38
234, 0.25
235, 0.26
236, 0.46
237, 0.17
238, 0.57
239, 0.39
240, 0.36
241, 0.60
242, 0.15
243, 0.05
244, 0.45
245, 0.46
246, 0.54
247, 0.60
248, 0.47
249, 0.08
250, 0.95
251, 0.45
252, 0.52
253, 0.17
254, 0.45
255, 0.61
256, 0.49
257, 0.50
258, 0.60
259, 0.42
260, 0.09
261, 0.19
262, 0.21
263, 0.96
264, 0.49
265, 0.48
266, 0.43
267, 0.71
268, 0.40
269, 0.51
270, 0.47
271, 0.43
272, 0.48
273, 0.41
274, 0.67
275, 0.61
276, 0.46
277, 0.16
278, 0.62
279, 0.33
280, 0.97
281, 0.69
282, 0.97
283, 0.45
284, 0.61
285, 0.70
286, 0.45
287, 0.51
288, 0.94
289, 0.47
290, 0.46
291, 0.44
292, 0.89
293, 0.43
294, 0.13
295, 0.56
296, 0.28
297, 0.51
298, 0.34
299, 0.49
300, 0.42
301, 0.41
302, 0.29
303, 0.42
304, 0.57
305, 0.61
306, 0.46
307, 0.50
308, 0.49
309, 0.45
310, 0.56
311, 0.17
312, 1.00
313, 0.32
314, 0.43
315, 0.50
316, 0.46
317, 0.67
318, 0.38
319, 0.14
320, 0.34
321, 1.02
322, 0.07
323, 0.16
324, 0.60
325, 0.84
326, 0.63
327, 0.33
328, 0.39
329, 0.46
330, 0.21
331, 0.51
332, 0.13
333, 0.14
334, 0.84
335, 0.58
336, 0.35
337, 0.49
338, 0.47
339, 0.57
340, 0.47
341, 0.50
342, 0.41
343, 0.13
344, 0.95
345, 0.48
346, 0.24
347, 0.43
348, 0.30
349, 0.61
350, 0.73
351, 0.40
352, 0.65
353, 0.63
354, 0.51
355, 0.45
356, 0.39
357, 0.26
358, 0.38
359, 0.49
360, 0.40
361, 0.49
362, 0.42
363, 0.62
364, 0.46
365, 0.47
366, 0.50
367, 0.90
368, 0.50
369, 0.21
370, 0.39
371, 0.57
372, 0.45
373, 0.89
374, 0.95
375, 0.57
376, 0.53
377, 0.41
378, 0.53
379, 0.46
380, 0.53
381, 0.22
382, 0.17
383, 0.52
384, 0.42
385, 0.37
386, 0.24
387, 0.41
388, 0.55
389, 0.14
390, 0.91
391, 0.48
392, 0.57
393, 0.39
394, 0.51
395, 0.36
396, 0.54
397, 0.18
398, 0.50
399, 0.67
400, 0.58
401, 0.54
402, 0.56
403, 0.50
404, 0.36
405, 0.52
406, 0.18
407, 0.60
408, 0.52
409, 0.30
410, 0.20
411, 0.45
412, 0.45
413, 0.52
414, 0.12
415, 0.40
416, 0.33
417, 0.88
418, 0.51
419, 0.50
420, 0.58
421, 0.56
422, 0.42
423, 0.44
424, 0.93
425, 0.70
426, 0.56
427, 0.86
428, 1.02
429, 0.25
430, 0.46
431, 0.36
432, 0.45
433, 0.23
434, 0.98
435, 0.59
436, 0.61
437, 0.47
438, 0.47
439, 0.16
440, 0.94
441, 0.48
442, 0.20
443, 0.37
444, 0.55
445, 0.48
446, 0.48
447, 0.19
448, 0.43
449, 0.87
450, 0.51
451, 0.16
452, 0.61
453, 0.47
454, 0.37
455, 0.39
456, 0.40
457, 0.40
458, 0.54
459, 0.46
460, 0.67
461, 0.50
462, 0.55
463, 0.97
464, 1.00
465, 0.40
466, 0.50
467, 0.59
468, 0.89
469, 0.56
470, 0.39
471, 0.49
472, 0.25
473, 0.60
474, 0.93
475, 0.73
476, 1.01
477, 0.48
478, 0.20
479, 0.37
480, 0.47
481, 0.90
482, 0.97
483, 0.51
484, 0.29
485, 0.55
486, 0.35
487, 0.94
488, 0.32
489, 0.37
490, 0.23
491, 0.18
492, 0.44
493, 0.39
494, 0.37
495, 0.25
496, 0.23
497, 0.50
498, 0.74
499, 0.84
500, 0.76
501, 0.31
502, 0.23
503, 0.54
504, 0.59
505, 0.96
506, 0.53
507, 0.94
508, 0.49
509, 0.39
510, 0.61
511, 0.51
512, 0.43
513, 0.42
514, 0.43
515, 0.56
516, 0.32
517, 0.69
518, 0.40
519, 0.38
520, 0.21
521, 0.53
522, 0.22
523, 0.48
524, 0.64
525, 0.49
526, 0.37
527, 0.60
528, 0.54
529, 0.39
530, 0.50
531, 0.47
532, 0.35
533, 0.61
534, 0.39
535, 0.51
536, 0.40
537, 0.49
538, 0.53
539, 0.28
540, 0.99
541, 0.51
542, 0.50
543, 0.98
544, 0.44
545, 0.37
546, 0.88
547, 0.45
548, 0.39
549, 0.39
550, 0.33
551, 0.42
552, 0.96
553, 0.21
554, 0.50
555, 0.42
556, 0.11
557, 1.04
558, 0.67
559, 0.62
560, 0.49
561, 0.34
562, 0.74
563, 0.94
564, 0.37
565, 0.86
566, 0.42
567, 1.00
568, 0.47
569, 0.88
570, 0.49
571, 0.55
572, 0.51
573, 0.11
574, 0.51
575, 0.61
576, 0.61
577, 0.70
578, 0.49
579, 0.78
580, 0.48
581, 0.53
582, 0.40
583, 0.42
584, 0.31
585, 0.40
586, 0.18
587, 0.44
588, 0.23
589, 0.19
590, 0.41
591, 0.62
592, 0.52
593, 1.01
594, 0.52
595, 0.91
596, 0.35
597, 0.49
598, 0.52
599, 0.55
600, 0.60
601, 1.01
602, 0.63
603, 0.41
604, 0.63
605, 0.21
606, 0.35
607, 0.21
608, 0.95
609, 0.44
610, 0.56
611, 0.54
612, 0.40
613, 0.47
614, 0.54
615, 0.29
616, 0.35
617, 0.53
618, 0.32
619, 0.20
620, 0.48
621, 0.52
622, 0.44
623, 0.45
624, 0.35
625, 0.49
626, 0.37
627, 1.02
628, 0.46
629, 0.63
630, 0.40
631, 0.36
632, 0.22
633, 0.40
634, 0.87
635, 0.51
636, 1.10
637, 0.53
638, 0.26
639, 0.55
640, 0.46
641, 0.52
642, 0.53
643, 0.63
644, 0.57
645, 0.43
646, 0.38
647, 0.40
648, 0.89
649, 0.46
650, 0.34
651, 0.50
652, 0.69
653, 0.67
654, 0.92
655, 0.24
656, 0.55
657, 0.45
658, 0.21
659, 0.41
660, 0.91
661, 0.50
662, 0.55
663, 0.46
664, 0.32
665, 0.40
666, 0.42
667, 0.92
668, 0.56
669, 1.00
670, 0.45
671, 0.55
672, 0.96
673, 0.67
674, 0.46
675, 0.97
676, 0.18
677, 0.20
678, 0.23
679, 0.55
680, 0.96
681, 0.83
682, 0.48
683, 0.37
684, 0.60
685, 0.45
686, 0.47
687, 0.56
688, 0.33
689, 0.13
690, 0.63
691, 0.65
692, 0.54
693, 0.32
694, 0.67
695, 0.40
696, 0.58
697, 0.45
698, 0.35
699, 0.53
700, 0.33
701, 0.33
702, 0.42
703, 0.47
704, 0.34
705, 0.39
706, 0.37
707, 0.14
708, 0.36
709, 0.17
710, 0.90
711, 0.43
712, 0.56
713, 0.46
714, 0.51
715, 0.36
716, 0.28
717, 0.40
718, 0.47
719, 0.49
720, 0.08
721, 0.73
722, 0.21
723, 0.42
724, 0.31
725, 0.45
726, 0.51
727, 0.45
728, 0.39
729, 0.26
730, 0.40
731, 0.20
732, 0.44
733, 0.96
734, 0.28
735, 0.41
736, 0.53
737, 0.10
738, 0.51
739, 0.34
740, 0.55
741, 0.15
742, 0.47
743, 0.30
744, 0.91
745, 0.50
746, 0.34
747, 0.52
748, 0.30
749, 0.94
750, 0.54
751, 0.38
752, 0.60
753, 0.89
754, 0.50
755, 0.30
756, 0.57
757, 0.73
758, 0.15
759, 0.46
760, 0.00
761, 0.58
762, 0.44
763, 0.35
764, 0.37
765, 0.15
766, 0.77
767, 0.39
768, 0.19
769, 0.38
770, 0.57
771, 0.65
772, 0.45
773, 0.45
774, 0.50
775, 0.52
776, 0.61
777, 0.40
778, 0.66
779, 0.51
780, 0.47
781, 0.65
782, 0.69
783, 0.42
784, 0.51
785, 0.40
786, 0.45
787, 0.38
788, 0.83
789, 0.20
790, 0.38
791, 0.61
792, 0.40
793, 0.41
794, 0.42
795, 0.58
796, 0.21
797, 0.52
798, 0.57
799, 0.91
800, 0.51
801, 0.74
802, 0.52
803, 0.93
804, 0.40
805, 0.41
806, 0.42
807, 0.61
808, 0.22
809, 0.08
810, 0.43
811, 0.60
812, 0.93
813, 0.13
814, 0.41
815, 0.29
816, 0.70
817, 0.28
818, 0.28
819, 0.41
820, 0.45
821, 0.18
822, 0.86
823, 0.42
824, 0.25
825, 0.22
826, 0.59
827, 0.59
828, 0.93
829, 0.48
830, 0.28
831, 0.59
832, 0.39
833, 0.48
834, 0.59
835, 0.44
836, 0.69
837, 0.39
838, 0.72
839, 0.46
840, 0.11
841, 0.48
842, 0.35
843, 0.62
844, 0.38
845, 0.46
846, 0.56
847, 0.07
848, 0.34
849, 0.53
850, 0.13
851, 0.49
852, 0.16
853, 0.57
854, 0.59
855, 1.03
856, 0.42
857, 0.41
858, 0.50
859, 0.71
860, 0.58
861, 0.41
862, 0.51
863, 0.48
864, 0.57
865, 0.48
866, 0.50
867, 0.16
868, 0.38
869, 0.43
870, 0.19
871, 0.60
872, 0.97
873, 0.99
874, 0.15
875, 0.09
876, 0.38
877, 0.55
878, 0.45
879, 0.57
880, 0.57
881, 0.31
882, 0.40
883, 0.67
884, 0.30
885, 0.39
886, 0.95
887, 0.39
888, 0.59
889, 0.40
890, 0.89
891, 0.45
892, 0.57
893, 0.32
894, 0.92
895, 0.56
896, 0.46
897, 0.48
898, 0.45
899, 0.08
900, 0.49
901, 0.47
902, 0.59
903, 0.44
904, 0.93
905, 0.96
906, 0.45
907, 0.57
908, 0.17
909, 0.44
910, 0.87
911, 0.56
912, 0.26
913, 0.33
914, 0.24
915, 0.46
916, 0.56
917, 0.98
918, 0.49
919, 0.51
920, 0.38
921, 0.45
922, 0.41
923, 0.52
924, 0.69
925, 0.42
926, 0.36
927, 0.96
928, 0.11
929, 0.86
930, 0.43
931, 0.37
932, 0.37
933, 0.58
934, 0.51
935, 0.30
936, 0.58
937, 0.35
938, 0.45
939, 0.78
940, 0.54
941, 0.16
942, 0.43
943, 0.47
944, 0.40
945, 0.35
946, 0.55
947, 0.91
948, 0.18
949, 0.25
950, 0.49
951, 0.58
952, 0.35
953, 0.56
954, 0.37
955, 0.36
956, 0.47
957, 0.50
958, 0.48
959, 0.18
960, 0.38
961, 0.66
962, 0.40
963, 0.74
964, 0.48
965, 0.39
966, 0.38
967, 0.44
968, 0.35
969, 0.52
970, 0.39
971, 0.22
972, 0.48
973, 0.16
974, 0.59
975, 0.54
976, 0.55
977, 0.47
978, 0.39
979, 0.60
980, 0.43
981, 0.49
982, 0.52
983, 0.60
984, 0.37
985, 0.45
986, 0.26
987, 0.49
988, 0.62
989, 0.45
990, 0.19
991, 0.24
992, 0.36
993, 0.43
994, 0.22
995, 0.46
996, 0.57
997, 0.50
998, 0.32
999, 0.51
1000, 0.48
1001, 0.47
1002, 0.36
1003, 0.49
1004, 0.98
1005, 0.28
1006, 0.30
1007, 0.93
1008, 0.52
1009, 0.40
1010, 0.44
1011, 0.38
1012, 0.64
1013, 0.46
1014, 0.05
1015, 0.41
1016, 0.56
1017, 0.42
1018, 0.51
1019, 0.63
1020, 0.20
1021, 0.65
1022, 0.51
1023, 0.51
1024, 0.48
1025, 0.37
1026, 0.88
1027, 0.54
1028, 0.91
1029, 0.55
1030, 0.01
1031, 1.04
1032, 0.55
1033, 0.47
1034, 0.49
1035, 0.82
1036, 0.45
1037, 0.46
1038, 0.50
1039, 0.51
1040, 0.52
1041, 0.58
1042, 0.97
1043, 0.43
1044, 0.46
1045, 0.54
1046, 0.38
1047, 0.37
1048, 0.39
1049, 0.32
1050, 0.43
1051, 0.68
1052, 0.62
